Ship_Name;MMSI;Origin_Port;Destination_Port;Draught;Length;Width;Congestion;Wind;Visibility;Arrival_Time;Crew_ETA
ANTWERPEN;244058019;Rotterdam;Antwerp;2.0;135.0;18.0;6.0;1.79;10000.0;2026-05-23 00:16:02.876190990;{'Day': 22, 'Hour': 2, 'Minute': 13, 'Month': 5}
SYNERGY;205217290;Antwerp;Rotterdam;2.5;110.0;14.0;17.0;4.22;10000.0;2026-05-23 00:28:11.673854589;{'Day': 24, 'Hour': 11, 'Minute': 55, 'Month': 5}
KROONSTAD;205546690;Antwerp;Rotterdam;4.2;136.0;18.0;16.0;4.22;10000.0;2026-05-23 00:45:56.368764850;{'Day': 24, 'Hour': 22, 'Minute': 58, 'Month': 7}
SENDO MARE;244181802;Antwerp;Rotterdam;3.9;124.0;15.0;22.0;4.22;10000.0;2026-05-23 03:48:57.608936221;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
BIRJO III;205587390;Antwerp;Rotterdam;1.6;135.0;12.0;13.0;4.22;10000.0;2026-05-23 05:25:23.559625596;{'Day': 27, 'Hour': 5, 'Minute': 31, 'Month': 5}
MAYVIEW MAERSK;219578000;Hamburg;Bremerhaven;12.3;399.0;60.0;3.0;7.09;6188.0;2026-05-23 06:41:55.003573483;{'Day': 25, 'Hour': 1, 'Minute': 0, 'Month': 5}
MAYVIEW MAERSK;219578000;Hamburg;Bremerhaven;12.3;399.0;60.0;5.0;7.09;6188.0;2026-05-23 07:52:17.154850837;{'Day': 25, 'Hour': 1, 'Minute': 0, 'Month': 5}
STOLT MAIN;244660648;Rotterdam;Antwerp;2.0;86.0;12.0;12.0;1.79;10000.0;2026-05-23 08:31:14.999738571;{'Day': 24, 'Hour': 2, 'Minute': 0, 'Month': 5}
MINERVA [SV]        ;245676000;Hamburg;Rotterdam;2.0;49.0;7.0;21.0;4.22;10000.0;2026-05-23 11:44:01.028144944;{'Day': 8, 'Hour': 23, 'Minute': 0, 'Month': 5}
BLUE NATHALIE;244371252;Rotterdam;Antwerp;3.0;110.0;13.0;9.0;1.79;10000.0;2026-05-23 14:24:20.171489857;{'Day': 28, 'Hour': 2, 'Minute': 0, 'Month': 5}
CORYLOPHIDA;253465000;Rotterdam;Antwerp;3.0;86.0;10.0;8.0;1.79;10000.0;2026-05-23 17:23:40.654675624;{'Day': 20, 'Hour': 12, 'Minute': 26, 'Month': 5}
STOLT MOSEL;244660647;Rotterdam;Antwerp;2.3;86.0;12.0;8.0;1.79;10000.0;2026-05-23 18:03:04.744979627;{'Day': 9, 'Hour': 16, 'Minute': 0, 'Month': 5}
INTENSITY;205394990;Rotterdam;Antwerp;2.6;110.0;12.0;8.0;1.79;10000.0;2026-05-23 18:11:52.746414546;{'Day': 10, 'Hour': 8, 'Minute': 20, 'Month': 5}
VIRAYA;244209247;Rotterdam;Antwerp;1.4;135.0;12.0;7.0;1.79;10000.0;2026-05-23 19:57:44.402927850;{'Day': 22, 'Hour': 4, 'Minute': 21, 'Month': 5}
ALIZE;253242499;Rotterdam;Antwerp;1.8;110.0;12.0;7.0;1.79;10000.0;2026-05-23 22:57:47.227968348;{'Day': 11, 'Hour': 2, 'Minute': 23, 'Month': 5}
FRANCONIA;211547860;Antwerp;Rotterdam;2.1;110.0;13.0;16.0;4.22;10000.0;2026-05-24 10:02:33.671964564;{'Day': 23, 'Hour': 22, 'Minute': 0, 'Month': 5}
VLAARDINGEN;244660639;Rotterdam;Antwerp;0.0;135.0;15.0;3.0;1.79;10000.0;2026-05-24 13:46:02.661480588;{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}
